passID,timestamp,stationRef,vehicleRef,charge,t,v,hn,p,status
LPI5965585,13/2/2019 20:12,NE15,EV77EDV52985,1,NE15,EV77EDV52985,NE,home,unpaid
GZD7025161,13/2/2019 20:53,MR05,EZ65FLV39493,2.8,MR05,EZ65FLV39493,MR,home,unpaid
ZLO2558465,13/2/2019 23:12,EG10,CM15YCB60994,2,EG10,CM15YCB60994,EG,home,unpaid
FMR1577396,13/2/2019 23:49,AO13,PE73VJU23485,2.8,AO13,PE73VJU23485,AO,home,unpaid
KGN7605733,13/2/2019 23:55,AO10,MX39VOS38645,2.8,AO10,MX39VOS38645,AO,home,unpaid
SYV9231859,14/2/2019 02:08,MR07,RR98KQE80731,1.25,MR07,RR98KQE80731,MR,home,unpaid
YRK6353086,14/2/2019 04:13,MR08,KF48RSD79865,2.8,MR08,KF48RSD79865,MR,home,unpaid
SIK3345091,14/2/2019 04:40,NE15,IN99SEN20660,2.2,NE15,IN99SEN20660,EG,away,unpaid
XNF9778277,14/2/2019 05:57,MR08,DP11ENT03275,1.5,MR08,DP11ENT03275,AO,away,unpaid
MVO5466880,14/2/2019 06:28,OO09,VJ92OYV94295,2.5,OO09,VJ92OYV94295,OO,home,unpaid
DTF7494579,14/2/2019 07:00,KO04,FL13UMN92207,2.2,KO04,FL13UMN92207,KO,home,unpaid
SKL1702147,14/2/2019 08:05,MR07,UP28MBM38391,2.5,MR07,UP28MBM38391,NE,away,unpaid
UCU6662947,14/2/2019 08:56,MR02,EZ65FLV39493,2.8,MR02,EZ65FLV39493,MR,home,unpaid
KCT1145185,14/2/2019 08:58,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
UYX0333875,14/2/2019 09:51,NE00,NO82BAX82566,3.1,NE00,NO82BAX82566,NE,home,unpaid
FSU0083220,14/2/2019 10:24,GF00,KW50MJG67260,2.2,GF00,KW50MJG67260,GF,home,unpaid
DHZ8577996,14/2/2019 11:16,EG12,TV81MAQ99005,2.8,EG12,TV81MAQ99005,EG,home,unpaid
VCW4542011,14/2/2019 11:28,GF00,LM86GYO69819,2.8,GF00,LM86GYO69819,GF,home,unpaid
FZQ2325534,14/2/2019 11:31,OO02,LC72NRN52084,3.1,OO02,LC72NRN52084,OO,home,unpaid
ACV5921231,14/2/2019 11:31,NE16,IA29IQS63679,1,NE16,IA29IQS63679,NE,home,unpaid
TQY0231494,14/2/2019 12:08,NE11,PD45WOT56494,2,NE11,PD45WOT56494,NE,home,unpaid
DKS2475692,14/2/2019 12:09,OO09,QX75YWC61835,2.5,OO09,QX75YWC61835,OO,home,unpaid
CKP0722422,14/2/2019 13:18,KO05,IX01MVL33676,2.5,KO05,IX01MVL33676,KO,home,unpaid
IEF3427274,14/2/2019 14:45,AO08,RR73DWB65452,2.8,AO08,RR73DWB65452,AO,home,unpaid
VTN6985830,14/2/2019 14:45,NE00,BM25PHF40639,2,NE00,BM25PHF40639,AO,away,unpaid
SFU3224797,14/2/2019 14:50,EG11,XE59BZM26378,2.5,EG11,XE59BZM26378,EG,home,unpaid
ALO5045677,14/2/2019 14:58,MR06,QH15HWX24570,3.1,MR06,QH15HWX24570,MR,home,unpaid
RGU7224262,14/2/2019 15:39,MR03,UA13YTK28483,2.8,MR03,UA13YTK28483,MR,home,unpaid
NWF4832217,14/2/2019 15:43,EG12,IW53OQE31439,2.8,EG12,IW53OQE31439,EG,home,unpaid
VKU9580044,14/2/2019 16:51,OO00,RK48BOP88344,2.8,OO00,RK48BOP88344,OO,home,unpaid
GJK7342004,14/2/2019 17:01,AO15,LG64ARC91224,13,AO15,LG64ARC91224,AO,home,unpaid
TVO3568105,14/2/2019 19:54,NE09,NZ35XLQ89678,1.5,NE09,NZ35XLQ89678,NE,home,unpaid
TOP6412368,14/2/2019 20:17,NE15,IA29IQS63679,1,NE15,IA29IQS63679,NE,home,unpaid
KRY7054112,14/2/2019 20:18,AO07,PE73VJU23485,2.8,AO07,PE73VJU23485,AO,home,unpaid
UCL1239883,14/2/2019 21:44,NE07,VL67TFO75321,2.2,NE07,VL67TFO75321,EG,away,unpaid
QBF5473292,14/2/2019 22:29,MR07,UA13YTK28483,2.8,MR07,UA13YTK28483,MR,home,unpaid
PRJ8426293,14/2/2019 22:43,KO07,WY00MLL63827,1,KO07,WY00MLL63827,KO,home,unpaid
OAE8773771,14/2/2019 23:05,NE11,AT19HLV57173,2,NE11,AT19HLV57173,OO,away,unpaid
NHN3299680,14/2/2019 23:34,OO05,XV40HUQ04740,1,OO05,XV40HUQ04740,OO,home,unpaid
GND3493209,15/2/2019 00:01,AO17,MU06LHX94338,2.8,AO17,MU06LHX94338,EG,away,unpaid
MSJ5275524,15/2/2019 00:11,EG08,BZ76ROL87339,1.25,EG08,BZ76ROL87339,AO,away,unpaid
GPN9295963,15/2/2019 01:22,AO11,PE73VJU23485,2.8,AO11,PE73VJU23485,AO,home,unpaid
PLS8241838,15/2/2019 02:13,EG10,HE38BQH01623,1.25,EG10,HE38BQH01623,MR,away,unpaid
JZK7854006,15/2/2019 02:46,MR00,KF48RSD79865,2.8,MR00,KF48RSD79865,MR,home,unpaid
FIW2959411,15/2/2019 03:02,AO17,DP11ENT03275,3.1,AO17,DP11ENT03275,AO,home,unpaid
AWL0103080,15/2/2019 04:12,AO12,BZ76ROL87339,1,AO12,BZ76ROL87339,AO,home,unpaid
CEH4804104,15/2/2019 04:14,AO11,RR73DWB65452,2.8,AO11,RR73DWB65452,AO,home,unpaid
WQJ9984260,15/2/2019 05:12,MR08,QO68DIC93032,2.5,MR08,QO68DIC93032,MR,home,unpaid
PMF6835660,15/2/2019 05:29,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
ANE3986443,15/2/2019 05:31,NE06,UA13YTK28483,2.5,NE06,UA13YTK28483,MR,away,unpaid
CUN5205310,15/2/2019 05:35,MR03,HE38BQH01623,2.8,MR03,HE38BQH01623,MR,home,unpaid
RPR4993167,15/2/2019 06:03,MR01,BI87HYL81972,1,MR01,BI87HYL81972,MR,home,unpaid
LTC9039265,15/2/2019 06:23,GF00,UF84JOS00561,2.8,GF00,UF84JOS00561,GF,home,unpaid
BTR9671185,15/2/2019 06:33,MR07,IZ65WAT29135,2,MR07,IZ65WAT29135,MR,home,unpaid
KVN5927272,15/2/2019 07:40,NE16,PM58XHX45588,1.5,NE16,PM58XHX45588,NE,home,unpaid
JXT5942384,15/2/2019 07:50,EG03,TV81MAQ99005,2.8,EG03,TV81MAQ99005,EG,home,unpaid
REL9637435,15/2/2019 08:15,KO08,UO75YNW62238,2.8,KO08,UO75YNW62238,KO,home,unpaid
CFU8497334,15/2/2019 10:29,NE14,EV77EDV52985,1,NE14,EV77EDV52985,NE,home,unpaid
XDR0311716,15/2/2019 11:02,AO17,PE73VJU23485,2.8,AO17,PE73VJU23485,AO,home,unpaid
ORM6060701,15/2/2019 11:12,NE00,NY14GZR94632,2.8,NE00,NY14GZR94632,NE,home,unpaid
PUM7900063,15/2/2019 12:07,NE14,XE59BZM26378,1.5,NE14,XE59BZM26378,EG,away,unpaid
HIH7307769,15/2/2019 12:41,OO07,EM54HQI58682,2.8,OO07,EM54HQI58682,OO,home,unpaid
XEA3452317,15/2/2019 13:54,EG02,NY14GZR94632,2.5,EG02,NY14GZR94632,NE,away,unpaid
HYG4190925,15/2/2019 14:54,KO01,KB55KTM48860,2.5,KO01,KB55KTM48860,KO,home,unpaid
WZS2126788,15/2/2019 15:59,MR06,UF84JOS00561,3.1,MR06,UF84JOS00561,GF,away,unpaid
LFW7091737,15/2/2019 16:00,KO01,KB55KTM48860,2.5,KO01,KB55KTM48860,KO,home,unpaid
ONY9093224,15/2/2019 16:12,NE14,QP02SYE47964,2.8,NE14,QP02SYE47964,NE,home,unpaid
ABN0569105,15/2/2019 16:51,EG02,SU00RDZ36214,1.25,EG02,SU00RDZ36214,AO,away,unpaid
PHH6560842,15/2/2019 17:41,GF00,SL09NOT64494,2.5,GF00,SL09NOT64494,GF,home,unpaid
UVS1274281,15/2/2019 18:20,MR03,QN23UHH39091,2.8,MR03,QN23UHH39091,MR,home,unpaid
ADJ4000965,15/2/2019 18:34,OO05,XV40HUQ04740,1,OO05,XV40HUQ04740,OO,home,unpaid
KQS3760335,15/2/2019 20:08,KO05,WY00MLL63827,1,KO05,WY00MLL63827,KO,home,unpaid
IFG1700376,15/2/2019 20:14,OO07,JF94VYA88954,2.8,OO07,JF94VYA88954,OO,home,unpaid
YMZ4554391,15/2/2019 20:43,EG03,IN99SEN20660,2.8,EG03,IN99SEN20660,EG,home,unpaid
DVJ8161794,15/2/2019 20:58,OO09,LC72NRN52084,3.1,OO09,LC72NRN52084,OO,home,unpaid
ZPL5349083,15/2/2019 21:06,AO04,BM25PHF40639,2.8,AO04,BM25PHF40639,AO,home,unpaid
WOQ2020070,15/2/2019 21:46,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
SAC4489884,15/2/2019 23:25,EG10,XE59BZM26378,2.5,EG10,XE59BZM26378,EG,home,unpaid
EEE5363893,15/2/2019 23:47,OO00,VX68BAR38623,3.1,OO00,VX68BAR38623,NE,away,unpaid
BXT1017393,16/2/2019 00:46,EG10,TE24LCO18661,1.25,EG10,TE24LCO18661,EG,home,unpaid
MCO2497644,16/2/2019 00:51,NE02,NY14GZR94632,2.8,NE02,NY14GZR94632,NE,home,unpaid
RPV7846926,16/2/2019 01:28,EG10,EC02LZC49528,2.8,EG10,EC02LZC49528,EG,home,unpaid
CLS8198586,16/2/2019 02:13,EG08,YX66XYW62640,2.8,EG08,YX66XYW62640,GF,away,unpaid
UEW8240540,16/2/2019 05:49,KO07,ZY93PCY41868,1.5,KO07,ZY93PCY41868,KO,home,unpaid
ZEQ8974223,16/2/2019 06:54,NE07,EV77EDV52985,1,NE07,EV77EDV52985,NE,home,unpaid
KDN0825714,16/2/2019 07:50,NE06,EV77EDV52985,1,NE06,EV77EDV52985,NE,home,unpaid
JXA9593986,16/2/2019 08:23,OO01,IC95TLY24827,2,OO01,IC95TLY24827,OO,home,unpaid
OYP1542777,16/2/2019 08:34,KO04,UO75YNW62238,2.8,KO04,UO75YNW62238,KO,home,unpaid
NLO7152017,16/2/2019 09:04,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF,home,unpaid
ROV5488274,16/2/2019 09:09,AO15,LC72NRN52084,2.8,AO15,LC72NRN52084,OO,away,unpaid
RLH7741621,16/2/2019 10:42,EG08,CM15YCB60994,2,EG08,CM15YCB60994,EG,home,unpaid
XIH2401717,16/2/2019 13:25,NE11,FY47TUN40300,1,NE11,FY47TUN40300,NE,home,unpaid
HDB7514435,16/2/2019 13:47,GF00,QN12NTR81378,2.8,GF00,QN12NTR81378,GF,home,unpaid
BYO6579613,16/2/2019 15:13,AO10,HT62RDI04611,2.8,AO10,HT62RDI04611,AO,home,unpaid
BFE0773210,16/2/2019 15:28,GF00,CK97FAU13897,2.5,GF00,CK97FAU13897,GF,home,unpaid
KWT0373245,16/2/2019 15:29,NE12,EZ65FLV39493,1,NE12,EZ65FLV39493,MR,away,unpaid
QGB5030301,16/2/2019 15:56,MR01,KF48RSD79865,2.8,MR01,KF48RSD79865,MR,home,unpaid
SIO3218524,16/2/2019 16:32,EG07,UA13YTK28483,2.8,EG07,UA13YTK28483,MR,away,unpaid
FSS6816338,16/2/2019 17:24,KO05,QO77TFN61853,1.5,KO05,QO77TFN61853,KO,home,unpaid
ZTQ0870252,16/2/2019 17:53,OO07,VJ92OYV94295,2.5,OO07,VJ92OYV94295,OO,home,unpaid
XEC8643491,16/2/2019 18:42,MR06,HE38BQH01623,2.8,MR06,HE38BQH01623,MR,home,unpaid
HPU5209172,16/2/2019 18:52,EG02,TE24LCO18661,1.25,EG02,TE24LCO18661,EG,home,unpaid
WJO8990856,16/2/2019 20:06,EG08,CM15YCB60994,2,EG08,CM15YCB60994,EG,home,unpaid
GVW7098226,16/2/2019 20:44,NE15,XE59BZM26378,1.5,NE15,XE59BZM26378,EG,away,unpaid
SYK3512077,16/2/2019 20:59,KO04,QW79CHL42244,2.8,KO04,QW79CHL42244,KO,home,unpaid
UII0790340,16/2/2019 22:04,AO08,TV81MAQ99005,2.8,AO08,TV81MAQ99005,EG,away,unpaid
WEP5943638,16/2/2019 22:57,EG12,EM54HQI58682,2.5,EG12,EM54HQI58682,OO,away,unpaid
JZJ3052287,16/2/2019 23:00,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF,home,unpaid
MRO0340859,16/2/2019 23:47,AO06,EN26OAB52983,2.8,AO06,EN26OAB52983,GF,away,unpaid
ITF8357604,17/2/2019 00:11,KO02,JO50FSF60755,2.2,KO02,JO50FSF60755,KO,home,unpaid
UDE2924508,17/2/2019 03:01,OO04,XV40HUQ04740,1,OO04,XV40HUQ04740,OO,home,unpaid
ISH5599421,17/2/2019 03:38,MR04,EZ65FLV39493,2.8,MR04,EZ65FLV39493,MR,home,unpaid
VGY5959878,17/2/2019 04:03,AO11,DP11ENT03275,3.1,AO11,DP11ENT03275,AO,home,unpaid
OPW1328379,17/2/2019 06:01,NE13,VX68BAR38623,1.5,NE13,VX68BAR38623,NE,home,unpaid
WOC3238303,17/2/2019 06:05,OO02,HR53SRO94328,2.8,OO02,HR53SRO94328,MR,away,unpaid
YUU9878453,17/2/2019 06:15,MR08,HE38BQH01623,2.8,MR08,HE38BQH01623,MR,home,unpaid
BQY5032079,17/2/2019 07:12,MR02,HA82SCK64299,1,MR02,HA82SCK64299,MR,home,unpaid
FRE6224237,17/2/2019 10:50,NE00,PD45WOT56494,2,NE00,PD45WOT56494,NE,home,unpaid
IDD8321212,17/2/2019 12:15,OO11,ED51EWW52190,2.2,OO11,ED51EWW52190,KO,away,unpaid
VBC4621532,17/2/2019 12:29,AO07,SU00RDZ36214,2.8,AO07,SU00RDZ36214,AO,home,unpaid
KKJ6777962,17/2/2019 13:04,MR05,KF48RSD79865,2.8,MR05,KF48RSD79865,MR,home,unpaid
OJB7983473,17/2/2019 13:34,OO03,UF84JOS00561,1.5,OO03,UF84JOS00561,GF,away,unpaid
ILA6606597,17/2/2019 13:47,EG11,ED51EWW52190,2.5,EG11,ED51EWW52190,KO,away,unpaid
XBO2682228,17/2/2019 14:19,GF00,SL09NOT64494,2.5,GF00,SL09NOT64494,GF,home,unpaid
HGA8554626,17/2/2019 14:27,OO06,JF94VYA88954,2.8,OO06,JF94VYA88954,OO,home,unpaid
JUD0563797,17/2/2019 14:38,MR07,DV04FQL29609,2.2,MR07,DV04FQL29609,AO,away,unpaid
QEQ7836734,17/2/2019 14:41,EG01,RR98KQE80731,2.5,EG01,RR98KQE80731,MR,away,unpaid
NFC6040718,17/2/2019 14:42,NE03,UA13YTK28483,2.2,NE03,UA13YTK28483,MR,away,unpaid
PBZ6672677,17/2/2019 15:44,KO08,RV87TIY76692,2.5,KO08,RV87TIY76692,KO,home,unpaid
HZY9602738,17/2/2019 17:52,EG04,BZ76ROL87339,1.25,EG04,BZ76ROL87339,AO,away,unpaid
HHU1425986,17/2/2019 19:37,KO02,HA82SCK64299,3.1,KO02,HA82SCK64299,MR,away,unpaid
SKT5393569,17/2/2019 20:18,AO06,OC94ASJ72024,1,AO06,OC94ASJ72024,AO,home,unpaid
QGN7246506,17/2/2019 20:49,KO01,WY00MLL63827,1,KO01,WY00MLL63827,KO,home,unpaid
WLC0961432,17/2/2019 20:49,MR03,QH15HWX24570,3.1,MR03,QH15HWX24570,MR,home,unpaid
VAQ2681734,17/2/2019 21:47,AO08,MX39VOS38645,2.8,AO08,MX39VOS38645,AO,home,unpaid
QTE3396449,17/2/2019 22:31,KO00,QO77TFN61853,2.2,KO00,QO77TFN61853,KO,home,unpaid
JDP6320503,17/2/2019 23:22,MR08,IZ65WAT29135,2,MR08,IZ65WAT29135,MR,home,unpaid
VFB5662159,17/2/2019 23:43,MR05,QH15HWX24570,3.1,MR05,QH15HWX24570,MR,home,unpaid
YQC0919304,18/2/2019 00:19,MR05,CM15YCB60994,2.5,MR05,CM15YCB60994,EG,away,unpaid
WGA3065060,18/2/2019 00:39,EG06,BZ76ROL87339,1.5,EG06,BZ76ROL87339,AO,away,unpaid
RBK6994907,18/2/2019 02:15,EG00,CM15YCB60994,2,EG00,CM15YCB60994,EG,home,unpaid
YSS5492404,18/2/2019 03:40,MR05,UA13YTK28483,2.8,MR05,UA13YTK28483,MR,home,unpaid
ZID2349028,18/2/2019 04:24,KO01,JO50FSF60755,2.2,KO01,JO50FSF60755,KO,home,unpaid
LDY1277892,18/2/2019 05:46,EG02,IN99SEN20660,2.8,EG02,IN99SEN20660,EG,home,unpaid
SOW9746300,18/2/2019 06:55,OO13,IA29IQS63679,2.2,OO13,IA29IQS63679,NE,away,unpaid
EXQ8123102,18/2/2019 07:22,EG01,CM15YCB60994,2,EG01,CM15YCB60994,EG,home,unpaid
VDZ8951046,18/2/2019 07:48,MR02,HR53SRO94328,13,MR02,HR53SRO94328,MR,home,unpaid
IZE2069606,18/2/2019 09:08,NE05,HT62RDI04611,3.1,NE05,HT62RDI04611,AO,away,unpaid
SND1129626,18/2/2019 09:28,MR03,XV91YMP27722,2.5,MR03,XV91YMP27722,MR,home,unpaid
EZH4763660,18/2/2019 10:36,EG04,CM15YCB60994,2,EG04,CM15YCB60994,EG,home,unpaid
MDS6619479,18/2/2019 10:38,AO12,UA13YTK28483,2.8,AO12,UA13YTK28483,MR,away,unpaid
ZYB9551506,18/2/2019 10:43,OO06,IO09FGE68100,2.5,OO06,IO09FGE68100,GF,away,unpaid
FLF2454594,18/2/2019 10:53,NE01,PD45WOT56494,2,NE01,PD45WOT56494,NE,home,unpaid
RPC1437596,18/2/2019 11:08,EG05,CP56DAO45598,2,EG05,CP56DAO45598,GF,away,unpaid
GEG5593123,18/2/2019 12:07,AO04,LG64ARC91224,13,AO04,LG64ARC91224,AO,home,unpaid
RWT6240622,18/2/2019 14:23,OO00,WG11QVY31890,1,OO00,WG11QVY31890,OO,home,unpaid
ZFA7895657,18/2/2019 14:39,OO00,VJ92OYV94295,2.5,OO00,VJ92OYV94295,OO,home,unpaid
GSZ4430986,18/2/2019 14:50,KO06,ZY93PCY41868,1.5,KO06,ZY93PCY41868,KO,home,unpaid
VJF9544493,18/2/2019 16:36,MR03,OC94ASJ72024,3.1,MR03,OC94ASJ72024,AO,away,unpaid
TSU7307530,18/2/2019 17:30,EG05,CP56DAO45598,1.5,EG05,CP56DAO45598,GF,away,unpaid
KIL3822102,18/2/2019 18:00,AO05,DP11ENT03275,3.1,AO05,DP11ENT03275,AO,home,unpaid
KWS9369853,18/2/2019 18:05,NE00,EM54HQI58682,2.8,NE00,EM54HQI58682,OO,away,unpaid
HLT7891288,18/2/2019 20:02,AO15,DP11ENT03275,3.1,AO15,DP11ENT03275,AO,home,unpaid
UTA9305928,18/2/2019 20:11,AO04,PE73VJU23485,2.8,AO04,PE73VJU23485,AO,home,unpaid
CJD5270544,18/2/2019 20:23,NE09,NY14GZR94632,2.8,NE09,NY14GZR94632,NE,home,unpaid
AUV2016558,18/2/2019 20:39,OO13,WG11QVY31890,1.25,OO13,WG11QVY31890,OO,home,unpaid
UGL6556659,18/2/2019 21:05,MR06,QP02SYE47964,1,MR06,QP02SYE47964,NE,away,unpaid
KVE3441424,18/2/2019 22:11,OO01,XV40HUQ04740,1,OO01,XV40HUQ04740,OO,home,unpaid
YVF7614483,18/2/2019 22:34,OO05,EM54HQI58682,2.8,OO05,EM54HQI58682,OO,home,unpaid
SIO1254023,18/2/2019 23:06,MR04,EZ65FLV39493,2.8,MR04,EZ65FLV39493,MR,home,unpaid
RDY7104785,18/2/2019 23:25,AO17,SU00RDZ36214,2.8,AO17,SU00RDZ36214,AO,home,unpaid
TMW5244593,18/2/2019 23:39,OO10,BZ76ROL87339,1.5,OO10,BZ76ROL87339,AO,away,unpaid
FEF6834570,19/2/2019 00:11,GF00,LM86GYO69819,2.8,GF00,LM86GYO69819,GF,home,unpaid
GAU8660813,19/2/2019 00:20,EG12,BK77KNV91142,3.1,EG12,BK77KNV91142,OO,away,unpaid
ENJ0930189,19/2/2019 01:41,GF00,QN12NTR81378,2.8,GF00,QN12NTR81378,GF,home,unpaid
XRI5981987,19/2/2019 02:11,NE02,OY94SZK34436,2.5,NE02,OY94SZK34436,NE,home,unpaid
RTS7122497,19/2/2019 02:13,KO09,JO50FSF60755,2.2,KO09,JO50FSF60755,KO,home,unpaid
PEY2171574,19/2/2019 02:39,MR02,KF48RSD79865,2.8,MR02,KF48RSD79865,MR,home,unpaid
DLT4991879,19/2/2019 04:25,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
HRD5503920,19/2/2019 04:34,MR05,VX68BAR38623,1.5,MR05,VX68BAR38623,NE,away,unpaid
CIP0003677,19/2/2019 05:41,AO03,DP11ENT03275,3.1,AO03,DP11ENT03275,AO,home,unpaid
MLV2598006,19/2/2019 06:02,KO08,DO24BCW15511,1.25,KO08,DO24BCW15511,KO,home,unpaid
GFG4111468,19/2/2019 07:16,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
EQS2929755,19/2/2019 07:27,NE04,HA82SCK64299,2,NE04,HA82SCK64299,MR,away,unpaid
LXG1890558,19/2/2019 07:27,GF00,EN26OAB52983,1.25,GF00,EN26OAB52983,GF,home,unpaid
AZP3314053,19/2/2019 08:03,MR01,UP28MBM38391,1,MR01,UP28MBM38391,NE,away,unpaid
HBE0291165,19/2/2019 08:22,MR03,HE38BQH01623,2.8,MR03,HE38BQH01623,MR,home,unpaid
GVM3267384,19/2/2019 08:29,NE16,NZ35XLQ89678,1.5,NE16,NZ35XLQ89678,NE,home,unpaid
LSR0775635,19/2/2019 09:06,GF00,XF28DGK65250,2,GF00,XF28DGK65250,GF,home,unpaid
FSO8084704,19/2/2019 09:47,MR02,XV91YMP27722,2.5,MR02,XV91YMP27722,MR,home,unpaid
WLB7955770,19/2/2019 10:21,AO06,PE73VJU23485,2.8,AO06,PE73VJU23485,AO,home,unpaid
WGB8817925,19/2/2019 10:47,NE16,XE59BZM26378,1.5,NE16,XE59BZM26378,EG,away,unpaid
BDG4177678,19/2/2019 13:59,EG08,XE59BZM26378,2.5,EG08,XE59BZM26378,EG,home,unpaid
IWE4420498,19/2/2019 14:04,EG01,EN26OAB52983,2.8,EG01,EN26OAB52983,GF,away,unpaid
DMI2073800,19/2/2019 14:05,MR03,EN26OAB52983,1.25,MR03,EN26OAB52983,GF,away,unpaid
HJG6299297,19/2/2019 14:38,NE14,CK97FAU13897,1.5,NE14,CK97FAU13897,GF,away,unpaid
SRZ4417876,19/2/2019 15:27,AO13,YL27IFD65117,2,AO13,YL27IFD65117,AO,home,unpaid
CSV0183314,19/2/2019 16:24,EG01,XE59BZM26378,2.5,EG01,XE59BZM26378,EG,home,unpaid
JLJ5216364,19/2/2019 16:24,MR01,EZ65FLV39493,2.8,MR01,EZ65FLV39493,MR,home,unpaid
BGR8899997,19/2/2019 16:59,EG05,MU06LHX94338,1.5,EG05,MU06LHX94338,EG,home,unpaid
VTG7299407,19/2/2019 17:45,OO10,EM54HQI58682,2.8,OO10,EM54HQI58682,OO,home,unpaid
KRO1122548,19/2/2019 18:31,OO13,CM15YCB60994,2.5,OO13,CM15YCB60994,EG,away,unpaid
AAE7016070,19/2/2019 18:47,KO08,IX01MVL33676,2.5,KO08,IX01MVL33676,KO,home,unpaid
MUX2184254,19/2/2019 20:05,AO16,PE73VJU23485,2.8,AO16,PE73VJU23485,AO,home,unpaid
NSR7206712,19/2/2019 21:47,AO02,YX66XYW62640,2.8,AO02,YX66XYW62640,GF,away,unpaid
TTD5838522,19/2/2019 21:49,EG03,EC02LZC49528,2.8,EG03,EC02LZC49528,EG,home,unpaid
FXJ6486538,19/2/2019 22:26,KO08,ZY93PCY41868,1.5,KO08,ZY93PCY41868,KO,home,unpaid
TEX2291826,19/2/2019 22:45,MR08,QH15HWX24570,3.1,MR08,QH15HWX24570,MR,home,unpaid
KZH0424403,19/2/2019 23:01,NE04,OY94SZK34436,2.5,NE04,OY94SZK34436,NE,home,unpaid
KRV8378597,19/2/2019 23:04,OO03,AY38OQF67603,2.8,OO03,AY38OQF67603,OO,home,unpaid
ALS6458361,19/2/2019 23:40,MR01,MQ65WJJ60020,2.5,MR01,MQ65WJJ60020,KO,away,unpaid
VOP2903887,20/2/2019 00:32,KO00,UO75YNW62238,2.8,KO00,UO75YNW62238,KO,home,unpaid
KVV3941556,20/2/2019 01:07,AO16,BZ76ROL87339,1,AO16,BZ76ROL87339,AO,home,unpaid
JHD4445557,20/2/2019 03:05,KO01,QW79CHL42244,2.8,KO01,QW79CHL42244,KO,home,unpaid
XFA0096311,20/2/2019 04:17,AO06,RR73DWB65452,2.8,AO06,RR73DWB65452,AO,home,unpaid
WPB7034320,20/2/2019 05:32,AO16,LG64ARC91224,13,AO16,LG64ARC91224,AO,home,unpaid
ZGT4014580,20/2/2019 06:09,MR05,NZ35XLQ89678,1.5,MR05,NZ35XLQ89678,NE,away,unpaid
QER1600501,20/2/2019 06:38,OO07,VJ92OYV94295,2.5,OO07,VJ92OYV94295,OO,home,unpaid
ARV5064906,20/2/2019 07:02,OO01,EE22TMX10817,2,OO01,EE22TMX10817,OO,home,unpaid
SSC8822144,20/2/2019 08:03,EG05,CM15YCB60994,2,EG05,CM15YCB60994,EG,home,unpaid
CUH2372190,20/2/2019 08:24,NE13,VX68BAR38623,1.5,NE13,VX68BAR38623,NE,home,unpaid
NPP7782740,20/2/2019 10:41,OO09,QR03XCJ37459,2.8,OO09,QR03XCJ37459,OO,home,unpaid
JWK0231140,20/2/2019 10:46,OO04,JF94VYA88954,2.8,OO04,JF94VYA88954,OO,home,unpaid
BRG0502604,20/2/2019 11:05,NE13,EV77EDV52985,1,NE13,EV77EDV52985,NE,home,unpaid
QEW6075939,20/2/2019 14:55,MR04,QH15HWX24570,2,MR04,QH15HWX24570,MR,home,unpaid
VDC5563904,20/2/2019 16:53,AO05,BZ76ROL87339,1,AO05,BZ76ROL87339,AO,home,unpaid
GSY5791156,20/2/2019 17:52,AO09,LG64ARC91224,13,AO09,LG64ARC91224,AO,home,unpaid
UVR1612325,20/2/2019 18:13,GF00,CK97FAU13897,2.5,GF00,CK97FAU13897,GF,home,unpaid
SEJ8548873,20/2/2019 18:31,EG01,TV81MAQ99005,2.8,EG01,TV81MAQ99005,EG,home,unpaid
WAI7877683,20/2/2019 18:54,AO11,BM25PHF40639,13,AO11,BM25PHF40639,AO,home,unpaid
ASX7045132,20/2/2019 18:56,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
SWJ0184671,20/2/2019 19:19,KO08,WY00MLL63827,1,KO08,WY00MLL63827,KO,home,unpaid
WQT9873378,20/2/2019 20:35,GF00,IO09FGE68100,2.8,GF00,IO09FGE68100,GF,home,unpaid
POG0566310,20/2/2019 21:28,NE09,IA29IQS63679,1,NE09,IA29IQS63679,NE,home,unpaid
PRV7000354,20/2/2019 23:01,NE01,IA29IQS63679,1,NE01,IA29IQS63679,NE,home,unpaid
NIR0837218,20/2/2019 23:18,NE10,PM58XHX45588,1.5,NE10,PM58XHX45588,NE,home,unpaid
IXR2176412,20/2/2019 23:40,EG08,EZ65FLV39493,2,EG08,EZ65FLV39493,MR,away,unpaid
XZQ7034918,21/2/2019 00:30,GF00,MA30QLI76818,2.5,GF00,MA30QLI76818,GF,home,unpaid
IIS3435734,21/2/2019 01:34,KO01,QO77TFN61853,2.2,KO01,QO77TFN61853,KO,home,unpaid
XLS7134395,21/2/2019 02:07,KO03,ED51EWW52190,2.8,KO03,ED51EWW52190,KO,home,unpaid
